id,name,category,type,price_level,description
P001,鲜朗幼猫粮,猫粮,幼猫粮,budget,鲜朗 幼猫粮，适合猫粮场景，日常使用稳定。
P002,爱肯拿幼猫粮,猫粮,幼猫粮,mid,爱肯拿 幼猫粮，适合猫粮场景，日常使用稳定。
P003,渴望幼猫粮,猫粮,幼猫粮,premium,渴望 幼猫粮，适合猫粮场景，日常使用稳定。
P004,pidan幼猫粮,猫粮,幼猫粮,budget,pidan 幼猫粮，适合猫粮场景，日常使用稳定。
P005,petshy幼猫粮,猫粮,幼猫粮,mid,petshy 幼猫粮，适合猫粮场景，日常使用稳定。
P006,网易幼猫粮,猫粮,幼猫粮,premium,网易 幼猫粮，适合猫粮场景，日常使用稳定。
P007,妮可露幼猫粮,猫粮,幼猫粮,budget,妮可露 幼猫粮，适合猫粮场景，日常使用稳定。
P008,福丸幼猫粮,猫粮,幼猫粮,mid,福丸 幼猫粮，适合猫粮场景，日常使用稳定。
P009,卫仕幼猫粮,猫粮,幼猫粮,premium,卫仕 幼猫粮，适合猫粮场景，日常使用稳定。
P010,MAG幼猫粮,猫粮,幼猫粮,budget,MAG 幼猫粮，适合猫粮场景，日常使用稳定。
P011,鲜朗成猫粮,猫粮,成猫粮,mid,鲜朗 成猫粮，适合猫粮场景，日常使用稳定。
P012,爱肯拿成猫粮,猫粮,成猫粮,premium,爱肯拿 成猫粮，适合猫粮场景，日常使用稳定。
P013,渴望成猫粮,猫粮,成猫粮,budget,渴望 成猫粮，适合猫粮场景，日常使用稳定。
P014,pidan成猫粮,猫粮,成猫粮,mid,pidan 成猫粮，适合猫粮场景，日常使用稳定。
P015,petshy成猫粮,猫粮,成猫粮,premium,petshy 成猫粮，适合猫粮场景，日常使用稳定。
P016,网易成猫粮,猫粮,成猫粮,budget,网易 成猫粮，适合猫粮场景，日常使用稳定。
P017,妮可露成猫粮,猫粮,成猫粮,mid,妮可露 成猫粮，适合猫粮场景，日常使用稳定。
P018,福丸成猫粮,猫粮,成猫粮,premium,福丸 成猫粮，适合猫粮场景，日常使用稳定。
P019,卫仕成猫粮,猫粮,成猫粮,budget,卫仕 成猫粮，适合猫粮场景，日常使用稳定。
P020,MAG成猫粮,猫粮,成猫粮,mid,MAG 成猫粮，适合猫粮场景，日常使用稳定。
P021,鲜朗低敏粮,猫粮,低敏粮,premium,鲜朗 低敏粮，适合猫粮场景，日常使用稳定。
P022,爱肯拿低敏粮,猫粮,低敏粮,budget,爱肯拿 低敏粮，适合猫粮场景，日常使用稳定。
P023,渴望低敏粮,猫粮,低敏粮,mid,渴望 低敏粮，适合猫粮场景，日常使用稳定。
P024,pidan低敏粮,猫粮,低敏粮,premium,pidan 低敏粮，适合猫粮场景，日常使用稳定。
P025,petshy低敏粮,猫粮,低敏粮,budget,petshy 低敏粮，适合猫粮场景，日常使用稳定。
P026,网易低敏粮,猫粮,低敏粮,mid,网易 低敏粮，适合猫粮场景，日常使用稳定。
P027,妮可露低敏粮,猫粮,低敏粮,premium,妮可露 低敏粮，适合猫粮场景，日常使用稳定。
P028,福丸低敏粮,猫粮,低敏粮,budget,福丸 低敏粮，适合猫粮场景，日常使用稳定。
P029,卫仕低敏粮,猫粮,低敏粮,mid,卫仕 低敏粮，适合猫粮场景，日常使用稳定。
P030,MAG低敏粮,猫粮,低敏粮,premium,MAG 低敏粮，适合猫粮场景，日常使用稳定。
P031,鲜朗泌尿护理粮,猫粮,泌尿护理粮,budget,鲜朗 泌尿护理粮，适合猫粮场景，日常使用稳定。
P032,爱肯拿泌尿护理粮,猫粮,泌尿护理粮,mid,爱肯拿 泌尿护理粮，适合猫粮场景，日常使用稳定。
P033,渴望泌尿护理粮,猫粮,泌尿护理粮,premium,渴望 泌尿护理粮，适合猫粮场景，日常使用稳定。
P034,pidan泌尿护理粮,猫粮,泌尿护理粮,budget,pidan 泌尿护理粮，适合猫粮场景，日常使用稳定。
P035,petshy泌尿护理粮,猫粮,泌尿护理粮,mid,petshy 泌尿护理粮，适合猫粮场景，日常使用稳定。
P036,网易泌尿护理粮,猫粮,泌尿护理粮,premium,网易 泌尿护理粮，适合猫粮场景，日常使用稳定。
P037,妮可露泌尿护理粮,猫粮,泌尿护理粮,budget,妮可露 泌尿护理粮，适合猫粮场景，日常使用稳定。
P038,福丸泌尿护理粮,猫粮,泌尿护理粮,mid,福丸 泌尿护理粮，适合猫粮场景，日常使用稳定。
P039,卫仕泌尿护理粮,猫粮,泌尿护理粮,premium,卫仕 泌尿护理粮，适合猫粮场景，日常使用稳定。
P040,MAG泌尿护理粮,猫粮,泌尿护理粮,budget,MAG 泌尿护理粮，适合猫粮场景，日常使用稳定。
P041,鲜朗控重粮,猫粮,控重粮,mid,鲜朗 控重粮，适合猫粮场景，日常使用稳定。
P042,爱肯拿控重粮,猫粮,控重粮,premium,爱肯拿 控重粮，适合猫粮场景，日常使用稳定。
P043,渴望控重粮,猫粮,控重粮,budget,渴望 控重粮，适合猫粮场景，日常使用稳定。
P044,pidan控重粮,猫粮,控重粮,mid,pidan 控重粮，适合猫粮场景，日常使用稳定。
P045,petshy控重粮,猫粮,控重粮,premium,petshy 控重粮，适合猫粮场景，日常使用稳定。
P046,网易控重粮,猫粮,控重粮,budget,网易 控重粮，适合猫粮场景，日常使用稳定。
P047,妮可露控重粮,猫粮,控重粮,mid,妮可露 控重粮，适合猫粮场景，日常使用稳定。
P048,福丸控重粮,猫粮,控重粮,premium,福丸 控重粮，适合猫粮场景，日常使用稳定。
P049,卫仕控重粮,猫粮,控重粮,budget,卫仕 控重粮，适合猫粮场景，日常使用稳定。
P050,MAG控重粮,猫粮,控重粮,mid,MAG 控重粮，适合猫粮场景，日常使用稳定。
P051,鲜朗豆腐砂,猫砂,豆腐砂,premium,鲜朗 豆腐砂，适合猫砂场景，日常使用稳定。
P052,爱肯拿豆腐砂,猫砂,豆腐砂,budget,爱肯拿 豆腐砂，适合猫砂场景，日常使用稳定。
P053,渴望豆腐砂,猫砂,豆腐砂,mid,渴望 豆腐砂，适合猫砂场景，日常使用稳定。
P054,pidan豆腐砂,猫砂,豆腐砂,premium,pidan 豆腐砂，适合猫砂场景，日常使用稳定。
P055,petshy豆腐砂,猫砂,豆腐砂,budget,petshy 豆腐砂，适合猫砂场景，日常使用稳定。
P056,网易豆腐砂,猫砂,豆腐砂,mid,网易 豆腐砂，适合猫砂场景，日常使用稳定。
P057,妮可露豆腐砂,猫砂,豆腐砂,premium,妮可露 豆腐砂，适合猫砂场景，日常使用稳定。
P058,福丸豆腐砂,猫砂,豆腐砂,budget,福丸 豆腐砂，适合猫砂场景，日常使用稳定。
P059,卫仕豆腐砂,猫砂,豆腐砂,mid,卫仕 豆腐砂，适合猫砂场景，日常使用稳定。
P060,MAG豆腐砂,猫砂,豆腐砂,premium,MAG 豆腐砂，适合猫砂场景，日常使用稳定。
P061,鲜朗矿砂,猫砂,矿砂,budget,鲜朗 矿砂，适合猫砂场景，日常使用稳定。
P062,爱肯拿矿砂,猫砂,矿砂,mid,爱肯拿 矿砂，适合猫砂场景，日常使用稳定。
P063,渴望矿砂,猫砂,矿砂,premium,渴望 矿砂，适合猫砂场景，日常使用稳定。
P064,pidan矿砂,猫砂,矿砂,budget,pidan 矿砂，适合猫砂场景，日常使用稳定。
P065,petshy矿砂,猫砂,矿砂,mid,petshy 矿砂，适合猫砂场景，日常使用稳定。
P066,网易矿砂,猫砂,矿砂,premium,网易 矿砂，适合猫砂场景，日常使用稳定。
P067,妮可露矿砂,猫砂,矿砂,budget,妮可露 矿砂，适合猫砂场景，日常使用稳定。
P068,福丸矿砂,猫砂,矿砂,mid,福丸 矿砂，适合猫砂场景，日常使用稳定。
P069,卫仕矿砂,猫砂,矿砂,premium,卫仕 矿砂，适合猫砂场景，日常使用稳定。
P070,MAG矿砂,猫砂,矿砂,budget,MAG 矿砂，适合猫砂场景，日常使用稳定。
P071,鲜朗混合砂,猫砂,混合砂,mid,鲜朗 混合砂，适合猫砂场景，日常使用稳定。
P072,爱肯拿混合砂,猫砂,混合砂,premium,爱肯拿 混合砂，适合猫砂场景，日常使用稳定。
P073,渴望混合砂,猫砂,混合砂,budget,渴望 混合砂，适合猫砂场景，日常使用稳定。
P074,pidan混合砂,猫砂,混合砂,mid,pidan 混合砂，适合猫砂场景，日常使用稳定。
P075,petshy混合砂,猫砂,混合砂,premium,petshy 混合砂，适合猫砂场景，日常使用稳定。
P076,网易混合砂,猫砂,混合砂,budget,网易 混合砂，适合猫砂场景，日常使用稳定。
P077,妮可露混合砂,猫砂,混合砂,mid,妮可露 混合砂，适合猫砂场景，日常使用稳定。
P078,福丸混合砂,猫砂,混合砂,premium,福丸 混合砂，适合猫砂场景，日常使用稳定。
P079,卫仕混合砂,猫砂,混合砂,budget,卫仕 混合砂，适合猫砂场景，日常使用稳定。
P080,MAG混合砂,猫砂,混合砂,mid,MAG 混合砂，适合猫砂场景，日常使用稳定。
P081,鲜朗膨润土,猫砂,膨润土,premium,鲜朗 膨润土，适合猫砂场景，日常使用稳定。
P082,爱肯拿膨润土,猫砂,膨润土,budget,爱肯拿 膨润土，适合猫砂场景，日常使用稳定。
P083,渴望膨润土,猫砂,膨润土,mid,渴望 膨润土，适合猫砂场景，日常使用稳定。
P084,pidan膨润土,猫砂,膨润土,premium,pidan 膨润土，适合猫砂场景，日常使用稳定。
P085,petshy膨润土,猫砂,膨润土,budget,petshy 膨润土，适合猫砂场景，日常使用稳定。
P086,网易膨润土,猫砂,膨润土,mid,网易 膨润土，适合猫砂场景，日常使用稳定。
P087,妮可露膨润土,猫砂,膨润土,premium,妮可露 膨润土，适合猫砂场景，日常使用稳定。
P088,福丸膨润土,猫砂,膨润土,budget,福丸 膨润土，适合猫砂场景，日常使用稳定。
P089,卫仕膨润土,猫砂,膨润土,mid,卫仕 膨润土，适合猫砂场景，日常使用稳定。
P090,MAG膨润土,猫砂,膨润土,premium,MAG 膨润土，适合猫砂场景，日常使用稳定。
P091,鲜朗松木砂,猫砂,松木砂,budget,鲜朗 松木砂，适合猫砂场景，日常使用稳定。
P092,爱肯拿松木砂,猫砂,松木砂,mid,爱肯拿 松木砂，适合猫砂场景，日常使用稳定。
P093,渴望松木砂,猫砂,松木砂,premium,渴望 松木砂，适合猫砂场景，日常使用稳定。
P094,pidan松木砂,猫砂,松木砂,budget,pidan 松木砂，适合猫砂场景，日常使用稳定。
P095,petshy松木砂,猫砂,松木砂,mid,petshy 松木砂，适合猫砂场景，日常使用稳定。
P096,网易松木砂,猫砂,松木砂,premium,网易 松木砂，适合猫砂场景，日常使用稳定。
P097,妮可露松木砂,猫砂,松木砂,budget,妮可露 松木砂，适合猫砂场景，日常使用稳定。
P098,福丸松木砂,猫砂,松木砂,mid,福丸 松木砂，适合猫砂场景，日常使用稳定。
P099,卫仕松木砂,猫砂,松木砂,premium,卫仕 松木砂，适合猫砂场景，日常使用稳定。
P100,MAG松木砂,猫砂,松木砂,budget,MAG 松木砂，适合猫砂场景，日常使用稳定。
P101,鲜朗洗耳液,护理用品,洗耳液,mid,鲜朗 洗耳液，适合护理用品场景，日常使用稳定。
P102,爱肯拿洗耳液,护理用品,洗耳液,premium,爱肯拿 洗耳液，适合护理用品场景，日常使用稳定。
P103,渴望洗耳液,护理用品,洗耳液,budget,渴望 洗耳液，适合护理用品场景，日常使用稳定。
P104,pidan洗耳液,护理用品,洗耳液,mid,pidan 洗耳液，适合护理用品场景，日常使用稳定。
P105,petshy洗耳液,护理用品,洗耳液,premium,petshy 洗耳液，适合护理用品场景，日常使用稳定。
P106,网易洗耳液,护理用品,洗耳液,budget,网易 洗耳液，适合护理用品场景，日常使用稳定。
P107,妮可露洗耳液,护理用品,洗耳液,mid,妮可露 洗耳液，适合护理用品场景，日常使用稳定。
P108,福丸洗耳液,护理用品,洗耳液,premium,福丸 洗耳液，适合护理用品场景，日常使用稳定。
P109,卫仕洗耳液,护理用品,洗耳液,budget,卫仕 洗耳液，适合护理用品场景，日常使用稳定。
P110,MAG洗耳液,护理用品,洗耳液,mid,MAG 洗耳液，适合护理用品场景，日常使用稳定。
P111,鲜朗眼部湿巾,护理用品,眼部湿巾,premium,鲜朗 眼部湿巾，适合护理用品场景，日常使用稳定。
P112,爱肯拿眼部湿巾,护理用品,眼部湿巾,budget,爱肯拿 眼部湿巾，适合护理用品场景，日常使用稳定。
P113,渴望眼部湿巾,护理用品,眼部湿巾,mid,渴望 眼部湿巾，适合护理用品场景，日常使用稳定。
P114,pidan眼部湿巾,护理用品,眼部湿巾,premium,pidan 眼部湿巾，适合护理用品场景，日常使用稳定。
P115,petshy眼部湿巾,护理用品,眼部湿巾,budget,petshy 眼部湿巾，适合护理用品场景，日常使用稳定。
P116,网易眼部湿巾,护理用品,眼部湿巾,mid,网易 眼部湿巾，适合护理用品场景，日常使用稳定。
P117,妮可露眼部湿巾,护理用品,眼部湿巾,premium,妮可露 眼部湿巾，适合护理用品场景，日常使用稳定。
P118,福丸眼部湿巾,护理用品,眼部湿巾,budget,福丸 眼部湿巾，适合护理用品场景，日常使用稳定。
P119,卫仕眼部湿巾,护理用品,眼部湿巾,mid,卫仕 眼部湿巾，适合护理用品场景，日常使用稳定。
P120,MAG眼部湿巾,护理用品,眼部湿巾,premium,MAG 眼部湿巾，适合护理用品场景，日常使用稳定。
P121,鲜朗指甲剪,护理用品,指甲剪,budget,鲜朗 指甲剪，适合护理用品场景，日常使用稳定。
P122,爱肯拿指甲剪,护理用品,指甲剪,mid,爱肯拿 指甲剪，适合护理用品场景，日常使用稳定。
P123,渴望指甲剪,护理用品,指甲剪,premium,渴望 指甲剪，适合护理用品场景，日常使用稳定。
P124,pidan指甲剪,护理用品,指甲剪,budget,pidan 指甲剪，适合护理用品场景，日常使用稳定。
P125,petshy指甲剪,护理用品,指甲剪,mid,petshy 指甲剪，适合护理用品场景，日常使用稳定。
P126,网易指甲剪,护理用品,指甲剪,premium,网易 指甲剪，适合护理用品场景，日常使用稳定。
P127,妮可露指甲剪,护理用品,指甲剪,budget,妮可露 指甲剪，适合护理用品场景，日常使用稳定。
P128,福丸指甲剪,护理用品,指甲剪,mid,福丸 指甲剪，适合护理用品场景，日常使用稳定。
P129,卫仕指甲剪,护理用品,指甲剪,premium,卫仕 指甲剪，适合护理用品场景，日常使用稳定。
P130,MAG指甲剪,护理用品,指甲剪,budget,MAG 指甲剪，适合护理用品场景，日常使用稳定。
P131,鲜朗梳毛针梳,护理用品,梳毛针梳,mid,鲜朗 梳毛针梳，适合护理用品场景，日常使用稳定。
P132,爱肯拿梳毛针梳,护理用品,梳毛针梳,premium,爱肯拿 梳毛针梳，适合护理用品场景，日常使用稳定。
P133,渴望梳毛针梳,护理用品,梳毛针梳,budget,渴望 梳毛针梳，适合护理用品场景，日常使用稳定。
P134,pidan梳毛针梳,护理用品,梳毛针梳,mid,pidan 梳毛针梳，适合护理用品场景，日常使用稳定。
P135,petshy梳毛针梳,护理用品,梳毛针梳,premium,petshy 梳毛针梳，适合护理用品场景，日常使用稳定。
P136,网易梳毛针梳,护理用品,梳毛针梳,budget,网易 梳毛针梳，适合护理用品场景，日常使用稳定。
P137,妮可露梳毛针梳,护理用品,梳毛针梳,mid,妮可露 梳毛针梳，适合护理用品场景，日常使用稳定。
P138,福丸梳毛针梳,护理用品,梳毛针梳,premium,福丸 梳毛针梳，适合护理用品场景，日常使用稳定。
P139,卫仕梳毛针梳,护理用品,梳毛针梳,budget,卫仕 梳毛针梳，适合护理用品场景，日常使用稳定。
P140,MAG梳毛针梳,护理用品,梳毛针梳,mid,MAG 梳毛针梳，适合护理用品场景，日常使用稳定。
P141,鲜朗口腔清洁,护理用品,口腔清洁,premium,鲜朗 口腔清洁，适合护理用品场景，日常使用稳定。
P142,爱肯拿口腔清洁,护理用品,口腔清洁,budget,爱肯拿 口腔清洁，适合护理用品场景，日常使用稳定。
P143,渴望口腔清洁,护理用品,口腔清洁,mid,渴望 口腔清洁，适合护理用品场景，日常使用稳定。
P144,pidan口腔清洁,护理用品,口腔清洁,premium,pidan 口腔清洁，适合护理用品场景，日常使用稳定。
P145,petshy口腔清洁,护理用品,口腔清洁,budget,petshy 口腔清洁，适合护理用品场景，日常使用稳定。
P146,网易口腔清洁,护理用品,口腔清洁,mid,网易 口腔清洁，适合护理用品场景，日常使用稳定。
P147,妮可露口腔清洁,护理用品,口腔清洁,premium,妮可露 口腔清洁，适合护理用品场景，日常使用稳定。
P148,福丸口腔清洁,护理用品,口腔清洁,budget,福丸 口腔清洁，适合护理用品场景，日常使用稳定。
P149,卫仕口腔清洁,护理用品,口腔清洁,mid,卫仕 口腔清洁，适合护理用品场景，日常使用稳定。
P150,MAG口腔清洁,护理用品,口腔清洁,premium,MAG 口腔清洁，适合护理用品场景，日常使用稳定。
