title,category,description,causes,solutions,recommended_products
猫咪体重下降怎么办（日常护理）,护理问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪喝水太少怎么办（日常护理）,护理问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪便秘怎么办（日常护理）,护理问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪舔毛过度怎么办（日常护理）,护理问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪不吃猫粮怎么办（行为问题）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪软便拉稀怎么办（行为问题）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪频繁呕吐怎么办（行为问题）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪掉毛严重怎么办（行为问题）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪黑下巴反复怎么办（行为问题）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪泪痕明显怎么办（行为问题）,行为问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪半夜跑酷怎么办（行为问题）,行为问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪抓沙发怎么办（行为问题）,行为问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪乱尿怎么办（行为问题）,行为问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪应激躲藏怎么办（行为问题）,行为问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪口臭怎么办（行为问题）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪体重下降怎么办（行为问题）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪喝水太少怎么办（行为问题）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪便秘怎么办（行为问题）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪舔毛过度怎么办（行为问题）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪不吃猫粮怎么办（健康就医）,健康问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪软便拉稀怎么办（健康就医）,健康问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪频繁呕吐怎么办（健康就医）,健康问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪掉毛严重怎么办（健康就医）,健康问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪黑下巴反复怎么办（健康就医）,健康问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪泪痕明显怎么办（健康就医）,健康问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪半夜跑酷怎么办（健康就医）,健康问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪抓沙发怎么办（健康就医）,健康问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪乱尿怎么办（健康就医）,健康问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪应激躲藏怎么办（健康就医）,健康问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪口臭怎么办（健康就医）,健康问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪体重下降怎么办（健康就医）,健康问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪喝水太少怎么办（健康就医）,健康问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪便秘怎么办（健康就医）,健康问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪舔毛过度怎么办（健康就医）,健康问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪不吃猫粮怎么办（环境布置）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪软便拉稀怎么办（环境布置）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪频繁呕吐怎么办（环境布置）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪掉毛严重怎么办（环境布置）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪黑下巴反复怎么办（环境布置）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪泪痕明显怎么办（环境布置）,行为问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪半夜跑酷怎么办（环境布置）,行为问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪抓沙发怎么办（环境布置）,行为问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪乱尿怎么办（环境布置）,行为问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪应激躲藏怎么办（环境布置）,行为问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪口臭怎么办（环境布置）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪体重下降怎么办（环境布置）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪喝水太少怎么办（环境布置）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪便秘怎么办（环境布置）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪舔毛过度怎么办（环境布置）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪不吃猫粮怎么办（多猫家庭）,行为问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪软便拉稀怎么办（多猫家庭）,行为问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪频繁呕吐怎么办（多猫家庭）,行为问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪掉毛严重怎么办（多猫家庭）,行为问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪黑下巴反复怎么办（多猫家庭）,行为问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪泪痕明显怎么办（多猫家庭）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪半夜跑酷怎么办（多猫家庭）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪抓沙发怎么办（多猫家庭）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪乱尿怎么办（多猫家庭）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪应激躲藏怎么办（多猫家庭）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪口臭怎么办（多猫家庭）,行为问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪体重下降怎么办（多猫家庭）,行为问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪喝水太少怎么办（多猫家庭）,行为问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪便秘怎么办（多猫家庭）,行为问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪舔毛过度怎么办（多猫家庭）,行为问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪不吃猫粮怎么办（幼猫照护）,健康问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
猫咪软便拉稀怎么办（幼猫照护）,健康问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗；自动饮水机
猫咪频繁呕吐怎么办（幼猫照护）,健康问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机；豆腐猫砂
猫咪掉毛严重怎么办（幼猫照护）,健康问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂；矿砂
猫咪黑下巴反复怎么办（幼猫照护）,健康问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂；猫抓板
猫咪泪痕明显怎么办（幼猫照护）,健康问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板；逗猫棒
猫咪半夜跑酷怎么办（幼猫照护）,健康问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒；费洛蒙喷雾
猫咪抓沙发怎么办（幼猫照护）,健康问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾；化毛膏
猫咪乱尿怎么办（幼猫照护）,健康问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏；鱼油
猫咪应激躲藏怎么办（幼猫照护）,健康问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油；益生菌
猫咪口臭怎么办（幼猫照护）,健康问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗
